Geography,Transmission,Disease Type,Symptoms,Disease Name,ICD Code, Disease Group
South Asia,"waterborne, fecal-oral, poor sanitation",bacterial,"profuse diarrhea, dehydration, shock, vomiting, rapid heart rate, low blood pressure",Cholera,A00,Intestinal Infectious Diseases
Global/Developing Nations,"contaminated food, poor hygiene, fecal-oral",bacterial,"sustained high fever, headache, abdominal pain, rose spots, malaise, constipation",Typhoid Fever,A01,Intestinal Infectious Diseases
Americas,"contaminated food, poultry, pet reptiles",bacterial,"diarrhea, abdominal cramps, fever, vomiting, nausea, bloody stool",Other salmonella infections,A02,Intestinal Infectious Diseases
Sub-Saharan Africa,"fecal-oral, direct contact, waterborne",bacterial,"bloody diarrhea, abdominal cramps, fever, tenesmus, dehydration, vomiting",Shigellosis,A03,Intestinal Infectious Diseases
Global,"ingestion, contaminated food, poor cooking",bacterial,"diarrhea, cramping, nausea, vomiting, fever, abdominal tenderness",Other bacterial intestinal infections,A04,Intestinal Infectious Diseases
Global,"toxins, improper storage, raw foods",bacterial,"rapid onset, nausea, vomiting, abdominal pain, dizziness, weakness",Other bacterial food poisoning,A05,Intestinal Infectious Diseases
Indian Subcontinent,"contaminated water, fecal-oral, poor sanitation",parasitic,"bloody diarrhea, stomach pain, fever, fatigue, weight loss, liver abscess",Amoebiasis,A06,Intestinal Infectious Diseases
Americas/Europe,"waterborne, direct contact, host-to-host",parasitic,"watery diarrhea, bloating, gas, cramps, greasy stools, weight loss",Other protozoal intestinal diseases,A07,Intestinal Infectious Diseases
Global,"airborne droplets, fecal-oral, fomites",viral,"vomiting, watery diarrhea, low-grade fever, abdominal cramps, nausea, muscle aches",Viral and other specified intestinal infections,A08,Intestinal Infectious Diseases
Global,"fecal-oral, contact, contaminated food",viral,"diarrhea, vomiting, dehydration, abdominal discomfort, fever, loss of appetite","Infectious gastroenteritis and colitis, unspecified",A09,Intestinal Infectious Diseases
Southeast Asia,"airborne droplets, prolonged contact, coughing",bacterial,"chronic cough, chest pain, fever, night sweats, weight loss, fatigue",Respiratory tuberculosis confirmed,A15,Tuberculosis
Southeast Asia,"airborne droplets, prolonged contact, coughing",bacterial,"chronic cough, chest pain, fever, night sweats, weight loss, fatigue",Respiratory tuberculosis not confirmed,A16,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"severe headache, neck stiffness, confusion, vision changes, fever, seizures",Tuberculosis of nervous system,A17,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"local pain, fever, organ dysfunction, weight loss, fatigue, swollen glands",Tuberculosis of other organs,A18,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"high fever, chills, weakness, breathing issues, enlarged spleen, skin lesions",Miliary tuberculosis,A19,Tuberculosis
Central Asia,"flea bites, rodent contact, airborne",bacterial,"sudden fever, chills, headache, painful lymph nodes (buboes), weakness, coughing",Plague,A20,Certain Zootonic Bacterial Diseases
North America,"insect bites, handling animals, inhalation",bacterial,"fever, skin ulcer, swollen lymph nodes, headache, joint pain, nausea",Tularemia,A21,Certain Zootonic Bacterial Diseases
Global/Agricultural,"spores, contact with animals, contaminated products",bacterial,"skin sore, fever, chills, nausea, headache, difficulty breathing",Anthrax,A22,Certain Zootonic Bacterial Diseases
Mediterranean/Middle East,"unpasteurized dairy, animal contact, inhalation",bacterial,"undulating fever, joint pain, sweating, fatigue, back pain, loss of appetite",Brucellosis,A23,Certain Zootonic Bacterial Diseases
Southeast Asia,"contaminated water, soil contact, inhalation",bacterial,"fever, muscle aches, chest pain, coughing, lung nodules, abscesses",Glanders and melioidosis,A24,Certain Zootonic Bacterial Diseases
Asia,"rat bite, rodent urine, contaminated food",bacterial,"fever, chills, vomiting, joint pain, rash, muscle aches",Rat-bite fever,A25,Certain Zootonic Bacterial Diseases
Global/Occupational,"handling infected meat, skin puncture, cuts",bacterial,"purple skin lesion, fever, joint pain, swollen lymph nodes, general illness, headache",Erysipeloid,A26,Certain Zootonic Bacterial Diseases
Southeast Asia,"contaminated water, animal urine, skin contact",bacterial,"high fever, headache, muscle aches, jaundice, vomiting, red eyes",Leptospirosis,A27,Certain Zootonic Bacterial Diseases
Global,"animal contact, bites, environmental",bacterial,"fever, localized swelling, headache, general weakness, nausea, joint pain",Other zoonotic bacterial diseases,A28,Certain Zootonic Bacterial Diseases
South America,"airborne droplets, close contact, prolonged exposure",bacterial,"skin lesions, nerve damage, muscle weakness, sensory loss, eye problems, nosebleeds",Leprosy [Hansen's disease],A30,Other Bacterial Diseases
Global/Immunocompromised,"environmental, soil contact, aerosols",bacterial,"lung disease, swollen lymph nodes, skin ulcers, fever, weight loss, fatigue",Infection due to other mycobacteria,A31,Other Bacterial Diseases
Global,"contaminated food, raw dairy, soil",bacterial,"fever, muscle aches, diarrhea, stiff neck, confusion, convulsions",Listeriosis,A32,Other Bacterial Diseases
Developing Nations,"non-sterile delivery, umbilical cord infection",bacterial,"muscle spasms, difficulty feeding, irritability, lockjaw, arching of back, seizures",Tetanus neonatorum,A33,Other Bacterial Diseases
Developing Nations,"non-sterile birth, wound infection",bacterial,"muscle spasms, lockjaw, stiff neck, fever, irritability, sweating",Obstetrical tetanus,A34,Other Bacterial Diseases
Global/Unvaccinated,"deep puncture wound, soil contamination",bacterial,"muscle spasms, lockjaw, stiff neck, headache, fever, excessive sweating",Other tetanus,A35,Other Bacterial Diseases
Global/Unvaccinated,"airborne droplets, direct contact, fomites",bacterial,"sore throat, fever, swollen neck glands, difficulty breathing, bluish skin, nasal discharge",Diphtheria,A36,Other Bacterial Diseases
Global/Infants,"airborne droplets, direct contact, coughing",bacterial,"severe coughing fits, vomiting after cough, ""whoop"" sound, runny nose, fatigue, apnea",Whooping cough,A37,Other Bacterial Diseases
Global,"airborne droplets, direct contact, saliva",bacterial,"sore throat, high fever, bright red rash, strawberry tongue, headache, chills",Scarlet fever,A38,Other Bacterial Diseases
Sub-Saharan Africa,"airborne droplets, saliva, close contact",bacterial,"sudden fever, stiff neck, severe headache, photophobia, rash, confusion",Meningococcal infection,A39,Other Bacterial Diseases
Global,"contact, wounds, bloodstream",bacterial,"high fever, shaking chills, rapid heart rate, confusion, low blood pressure, rapid breathing",Streptococcal septicaemia,A40,Other Bacterial Diseases
Global,"contact, wounds, bloodstream",bacterial,"high fever, shaking chills, rapid heart rate, confusion, low blood pressure, rapid breathing",Other septicaemia,A41,Other Bacterial Diseases
Global,"normal flora, dental procedure, trauma",bacterial,"painful swelling, abscesses, draining sinus tracts, fever, weight loss, fatigue",Actinomycosis,A42,Other Bacterial Diseases
Global/Immunocompromised,"inhalation, soil contact, skin trauma",bacterial,"persistent cough, chest pain, fever, shortness of breath, skin lesions, weight loss",Nocardiosis,A43,Other Bacterial Diseases
South America,"sandfly bite, cat scratch, lice",bacterial,"fever, headache, fatigue, swollen glands, skin lesions, body aches",Bartonellosis,A44,Other Bacterial Diseases
Global,"skin break, open wound, direct contact",bacterial,"bright red skin rash, raised border, fever, chills, headache, general malaise",Erysipelas,A46,Other Bacterial Diseases
Global,"various, contact, inhalation",bacterial,"fever, localized symptoms, headache, fatigue, inflammation, body aches","Other bacterial diseases, not elsewhere classified",A48,Other Bacterial Diseases
Global,"various, unknown source",bacterial,"fever, inflammation, fatigue, chills, body aches, localized pain",Bacterial infection of unspecified site,A49,Other Bacterial Diseases
Global,"mother-to-child, vertical transmission",bacterial,"rash, runny nose, hepatosplenomegaly, bone deformities, anemia, jaundice",Congenital syphilis,A50,STDs
Global,"sexual contact, direct contact",bacterial,"painless chancre, rash, swollen lymph nodes, fever, sore throat, hair loss",Early syphilis,A51,STDs
Global,"sexual contact, direct contact",bacterial,"neurological damage, heart problems, gummas, blindness, dementia, paralysis",Late syphilis,A52,STDs
Global,"sexual contact, direct contact",bacterial,"varied, non-specific symptoms, fever, malaise, rash, headache, muscle pain",Other and unspecified syphilis,A53,STDs
Global,"sexual contact, mother-to-child",bacterial,"painful urination, discharge, abdominal pain, fever, joint swelling, sore throat",Gonococcal infection,A54,STDs
"Africa, Asia, S America","sexual contact, direct contact",bacterial,"swollen lymph nodes, fever, joint pain, headache, rectal pain, genital ulcers",Chlamydial lymphogranuloma (venereum),A55,STDs
Global,"sexual contact, mother-to-child",bacterial,"painful urination, discharge, abdominal pain, testicular pain, rectal pain, sore throat",Other sexually transmitted chlamydial diseases,A56,STDs
"Africa, Asia","sexual contact, direct contact",bacterial,"painful genital ulcer, swollen lymph nodes, fever, pus discharge, burning sensation, headache",Chancroid,A57,STDs
Developing Countries,"sexual contact, direct contact",bacterial,"progressive genital ulcers, bleeding, swelling, pain, lack of lymph node involvement",Granuloma inguinale,A58,STDs
Global,"sexual contact, direct contact, fomites",parasitic,"discharge, itching, painful urination, abdominal pain, foul odor, spotting",Trichomoniasis,A59,STDs
Global,"sexual contact, direct contact, skin-to-skin",viral,"painful blisters, ulcers, itching, flu-like symptoms, lymph node swelling, painful urination",Anogenital herpesviral infection,A60,STDs
Global,"sexual contact, direct contact",bacterial,"genital lesions, discharge, pain, itching, swelling, fever","Other predominantly sexually transmitted diseases, NEC",A63,STDs
Global,"sexual contact, unknown",viral,"discharge, pain, itching, rash, fever, malaise",Unspecified sexually transmitted disease,A64,STDs
"Africa, Middle East","non-sexual contact, oral contact, direct contact",bacterial,"skin lesions, bone damage, gummas, painless ulcers, nerve deafness, eye inflammation",Nonvenereal syphilis,A65,Other spirochaetal diseases
"Africa, Southeast Asia","skin contact, direct contact, non-sexual contact",bacterial,"painless skin nodules, bone pain, joint swelling, skin ulcers, fever, rash",Yaws,A66,Other spirochaetal diseases
Latin America,"skin contact, direct contact",bacterial,"initial skin lesion, white skin patches, hyperpigmentation, itching, rash, scaling",Pinta (carate),A67,Other spirochaetal diseases
"Africa, Asia","tick vector, louse vector, direct contact",bacterial,"recurring high fever, headache, muscle aches, nausea, rash, vomiting",Relapsing fevers,A68,Other spirochaetal diseases
Global,"tick bite, animal contact, direct contact",bacterial,"fever, rash, joint pain, headache, fatigue, neurological symptoms",Other spirochaetal infections,A69,Other spirochaetal diseases
Global/Birds,"avian aerosols, bird droppings, inhalation",bacterial,"fever, headache, dry cough, chest pain, muscle aches, chills",Infection due to Chlamydia psittaci,A70,Other diseases caused by clamydiae
"Africa, Middle East","eye discharge, direct contact, flies",bacterial,"painful eyes, inflammation, discharge, in-turned eyelashes, blurred vision, scarring",Trachoma,A71,Other diseases caused by clamydiae
Global,"various, contact, aerosols",bacterial,"fever, localized inflammation, headache, body aches, joint pain, fatigue",Other diseases caused by Chlamydiae,A74,Other diseases caused by clamydiae
Global/Poverty Areas,"louse vector, flea vector, body fluids",bacterial,"high fever, severe headache, rash, muscle aches, chills, confusion",Typhus fever,A75,Rickettsioses
Global/Americas,"tick vector, animal contact, insect bites",bacterial,"fever, headache, rash, muscle pain, nausea, vomiting",Spotted fever [rickettsioses],A77,Rickettsioses
Global/Livestock,"inhalation, contaminated milk, animal contact",bacterial,"high fever, severe headache, dry cough, chest pain, fatigue, night sweats",Q fever,A78,Rickettsioses
Global,"insect vector, animal contact",bacterial,"fever, rash, headache, muscle aches, malaise, chills",Other rickettsioses,A79,Rickettsioses
"Asia, Africa","fecal-oral, direct contact, waterborne",viral,"fever, fatigue, vomiting, stiff neck, muscle weakness, paralysis",Acute poliomyelitis,A80
"Africa, South America, Asia","['freshwater snail contact', 'waterborne', 'skin penetration']",parasitic,"['rash', 'fever', 'chills', 'cough', 'muscle aches', 'abdominal pain']",Schistosomiasis,B65
Worldwide,"['ingesting aquatic plants', 'undercooked fish', 'contaminated water']",parasitic,"['abdominal pain', 'diarrhea', 'fever', 'jaundice', 'cough', 'fatigue']",Other fluke infections,B66
Worldwide,"['ingesting parasite eggs', 'dog feces', 'livestock contact']",parasitic,"['cysts in organs', 'abdominal pain', 'nausea', 'jaundice', 'chest pain', 'cough']",Echinococcosis (Hydatid disease),B67
Worldwide,"['undercooked meat', 'fecal-oral', 'ingestion']",parasitic,"['abdominal pain', 'nausea', 'weight loss', 'passing tapeworm segments', 'loss of appetite', 'dizziness']",Taeniasis,B68
Worldwide,"['fecal-oral', 'ingesting parasite eggs', 'contaminated water']",parasitic,"['seizures', 'headaches', 'cysts in muscle', 'vision problems', 'confusion', 'swelling under skin']",Cysticercosis,B69
Worldwide,"['undercooked freshwater fish', 'ingestion', 'contaminated water']",parasitic,"['abdominal discomfort', 'diarrhea', 'vomiting', 'weight loss', 'vitamin B12 deficiency', 'fatigue']",Diphyllobothriasis and sparganosis,B70
Worldwide,"['fecal-oral', 'ingestion', 'undercooked meat']",parasitic,"['abdominal pain', 'nausea', 'diarrhea', 'weight loss', 'headache', 'dizziness']",Other cestode infections,B71
Africa,"['contaminated water', 'ingestion', 'water flea']",parasitic,"['painful skin blister', 'burning sensation', 'fever', 'nausea', 'worm emerging from skin', 'secondary bacterial infection']",Dracunculiasis (Guinea-worm disease),B72
"Africa, Latin America","['blackfly bite', 'vector-borne', 'skin penetration']",parasitic,"['severe itching', 'skin nodules', 'vision changes', 'blindness', 'disfiguring skin', 'rash']",Onchocerciasis (river blindness),B73
"Africa, Asia, Americas (Tropical)","['mosquito bite', 'vector-borne', 'lymphatic system']",parasitic,"['lymphedema', 'elephantiasis', 'fever', 'swollen lymph nodes', 'genital swelling', 'pain']",Filariasis,B74
Worldwide,"['undercooked meat', 'ingestion', 'raw pork/wild game']",parasitic,"['nausea', 'diarrhea', 'muscle pain', 'fever', 'facial swelling', 'headache']",Trichinellosis,B75
Worldwide (Tropical/Subtropical),"['skin penetration', 'contaminated soil', 'fecal-oral']",parasitic,"['itching rash at entry site', 'cough', 'abdominal pain', 'diarrhea', 'anemia', 'fatigue']",Hookworm diseases,B76
Worldwide,"['fecal-oral', 'contaminated soil', 'ingestion']",parasitic,"['abdominal pain', 'cough', 'intestinal blockage', 'nausea', 'vomiting', 'malnutrition']",Ascariasis,B77
Worldwide (Tropical/Subtropical),"['skin penetration', 'contaminated soil', 'fecal-oral']",parasitic,"['abdominal pain', 'diarrhea', 'rash', 'cough', 'weight loss', 'vomiting']",Strongyloidiasis,B78
Worldwide,"['fecal-oral', 'contaminated soil', 'ingestion']",parasitic,"['painful bowel movements', 'bloody diarrhea', 'abdominal pain', 'rectal prolapse', 'malnutrition', 'anemia']",Trichuriasis (whipworm),B79
Worldwide,"['fecal-oral', 'autoinfection', 'contact']",parasitic,"['anal itching', 'insomnia', 'irritability', 'abdominal pain', 'nausea', 'visible worms in stool']",Enterobiasis (pinworm),B80
Worldwide,"['fecal-oral', 'ingestion', 'contaminated soil']",parasitic,"['diarrhea', 'abdominal pain', 'malnutrition', 'nausea', 'fatigue', 'weight loss']",Other intestinal helminthiases,B81
Worldwide,"['fecal-oral', 'ingestion', 'contact']",parasitic,"['diarrhea', 'abdominal cramps', 'bloating', 'nausea', 'fatigue', 'unexplained weight loss']",Unspecified intestinal parasitism,B82
Worldwide,"['ingestion', 'skin penetration', 'vector-borne']",parasitic,"['abdominal pain', 'diarrhea', 'muscle aches', 'fever', 'rash', 'cough']",Other helminthiases,B83
Worldwide,"['close contact', 'fomites', 'sexual']",parasitic,"['intense itching', 'nits (eggs) in hair', 'lice on scalp/body', 'red bumps', 'irritability', 'difficulty sleeping']",Pediculosis and phthiriasis (Lice),B85
Worldwide,"['prolonged skin contact', 'sexual', 'fomites']",parasitic,"['intense itching at night', 'pimple-like rash', 'burrow tracks on skin', 'sores from scratching', 'crusted skin', 'lesions between fingers']",Scabies,B86
Worldwide,"['fly larvae entering body', 'open wounds', 'vector-borne']",parasitic,"['painful swelling', 'sensation of movement', 'pus drainage', 'boil-like lesion', 'fever', 'tissue destruction']",Myiasis,B87
Worldwide,"['contact', 'vector-borne', 'ingestion']",parasitic,"['itching', 'rash', 'fever', 'swelling', 'diarrhea', 'abdominal pain']",Other infestations,B88
Worldwide,"['vector-borne', 'fecal-oral', 'contact']",parasitic,"['fever', 'fatigue', 'diarrhea', 'rash', 'weight loss', 'abdominal pain']",Unspecified parasitic disease,B89
Worldwide,"['prior tuberculosis infection', 'reactivation', 'immunosuppression']",bacterial,"['chronic cough', 'lung scarring', 'respiratory failure', 'skeletal deformity', 'neurological deficits', 'renal dysfunction']",Sequelae of tuberculosis,B90
Worldwide,"['prior polio infection', 'muscle weakness', 'fatigue']",viral,"['muscle pain', 'joint pain', 'fatigue', 'new muscle weakness', 'breathing difficulties', 'swallowing problems']",Sequelae of poliomyelitis,B91
Worldwide,"['prior leprosy infection', 'nerve damage', 'disfigurement']",bacterial,"['nerve pain', 'muscle weakness', 'loss of sensation', 'skin lesions', 'deformities of limbs', 'blindness']",Sequelae of leprosy,B92
Worldwide,"['previous infection', 'chronic inflammation', 'organ damage']",viral,"['chronic fatigue', 'joint pain', 'cognitive impairment', 'organ dysfunction', 'persistent pain', 'autoimmune disorders']",Sequelae of other and unspecified infectious diseases,B94
Worldwide,"['contact', 'droplet', 'fomites']",bacterial,"['pus formation', 'inflammation', 'fever', 'site-specific pain', 'sepsis', 'abscess']","Streptococcus, Staphylococcus, Enterococcus as cause of other diseases",B95
Worldwide,"['environment', 'contact', 'ingestion']",bacterial,"['fever', 'inflammation', 'organ-specific symptoms', 'sepsis', 'diarrhea', 'respiratory symptoms']",Other bacterial agents as cause of other diseases,B96
Worldwide,"['droplet', 'contact', 'vector-borne']",viral,"['fever', 'inflammation', 'rash', 'respiratory symptoms', 'neurological symptoms', 'gastrointestinal symptoms']",Viral agents as cause of other diseases,B97
Worldwide,"['contact', 'ingestion', 'airborne']",bacterial,"['fever', 'malaise', 'inflammation', 'pain', 'organ dysfunction', 'rash']",Other infectious diseases,B99
Worldwide,"['smoking', 'alcohol', 'UV radiation']",Neoplastic,"['sore on lip', 'lip lump', 'lip bleeding', 'lip pain', 'neck lump', 'numbness']",Malignant neoplasm of lip,C00
Worldwide,"['smoking', 'alcohol', 'HPV infection']",Neoplastic,"['sore throat', 'difficulty swallowing', 'ear pain', 'neck lump', 'voice changes', 'tongue pain']",Malignant neoplasm of base of tongue,C01
Worldwide,"['smoking', 'alcohol', 'genetics']",Neoplastic,"['tongue ulcer', 'mouth pain', 'difficulty speaking', 'tongue bleeding', 'white/red patch', 'neck lump']",Malignant neoplasm of other parts of tongue,C02
Worldwide,"['smoking', 'alcohol', 'poor oral hygiene']",Neoplastic,"['gum swelling', 'gum bleeding', 'loose teeth', 'mouth ulcer', 'denture fit change', 'jaw pain']",Malignant neoplasm of gum,C03
Worldwide,"['smoking', 'alcohol', 'betel quid']",Neoplastic,"['mouth ulcer', 'white/red patch', 'mouth pain', 'difficulty swallowing', 'neck lump', 'ear pain']",Malignant neoplasm of floor of mouth,C04
Worldwide,"['smoking', 'alcohol', 'ill-fitting dentures']",Neoplastic,"['palate sore', 'palate lump', 'mouth pain', 'difficulty swallowing', 'denture fit change', 'bleeding']",Malignant neoplasm of palate,C05
Worldwide,"['smoking', 'alcohol', 'betel quid']",Neoplastic,"['cheek lump', 'mouth ulcer', 'white/red patch', 'mouth pain', 'trismus', 'numbness']",Malignant neoplasm of other parts of mouth,C06
East Asia,"['radiation', 'genetics', 'smoking']",Neoplastic,"['painless cheek swelling', 'facial numbness', 'facial weakness', 'difficulty opening mouth', 'ear pain', 'gland lump']",Malignant neoplasm of parotid gland,C07
Worldwide,"['radiation', 'genetics', 'Sjögren syndrome']",Neoplastic,"['lump under jaw', 'mouth pain', 'facial numbness', 'difficulty swallowing', 'facial weakness', 'persistent swelling']",Malignant neoplasm of other major salivary glands,C08
Worldwide,"['HPV infection', 'smoking', 'alcohol']",Neoplastic,"['sore throat', 'neck lump', 'ear pain', 'difficulty swallowing', 'tonsil swelling', 'blood in saliva']",Malignant neoplasm of tonsil,C09
Worldwide,"['HPV infection', 'smoking', 'alcohol']",Neoplastic,"['persistent sore throat', 'voice changes', 'ear pain', 'neck lump', 'painful swallowing', 'unexplained weight loss']",Malignant neoplasm of oropharynx,C10
East Asia,"['EBV infection', 'genetics', 'salted fish diet']",Neoplastic,"['neck lump', 'nasal congestion', 'hearing loss', 'tinnitus', 'headaches', 'nosebleeds']",Malignant neoplasm of nasopharynx,C11
Worldwide,"['smoking', 'alcohol', 'genetics']",Neoplastic,"['difficulty swallowing', 'ear pain', 'hoarseness', 'sore throat', 'neck lump', 'chronic cough']",Malignant neoplasm of pyriform sinus,C12
Worldwide,"['smoking', 'alcohol', 'Plummer-Vinson']",Neoplastic,"['sore throat', 'difficulty swallowing', 'neck lump', 'ear pain', 'voice changes', 'persistent cough']",Malignant neoplasm of hypopharynx,C13
Worldwide,"['smoking', 'alcohol', 'genetics']",Neoplastic,"['sore throat', 'swallowing difficulty', 'voice changes', 'neck mass', 'ear pain', 'unexplained weight loss']",Malignant neoplasm of other pharynx sites,C14
Worldwide,"['smoking', 'alcohol', 'GERD']",Neoplastic,"['difficulty swallowing', 'weight loss', 'chest pain', 'indigestion', 'hoarseness', 'chronic cough']",Malignant neoplasm of esophagus,C15
East Asia,"['H. pylori', 'smoking', 'salted food diet']",Neoplastic,"['indigestion', 'abdominal pain', 'nausea', 'loss of appetite', 'bloating after eating', 'unexplained weight loss']",Malignant neoplasm of stomach,C16
Worldwide,"[""Crohn's disease"", 'genetics', 'celiac disease']",Neoplastic,"['abdominal pain', 'weight loss', 'nausea', 'vomiting', 'anemia', 'fatigue']",Malignant neoplasm of small intestine,C17
Developed nations,"['diet', 'obesity', 'genetics']",Neoplastic,"['change in bowel habits', 'rectal bleeding', 'abdominal discomfort', 'unexplained weight loss', 'fatigue', 'anemia']",Malignant neoplasm of colon,C18
Developed nations,"['diet', 'obesity', 'genetics']",Neoplastic,"['change in bowel habits', 'rectal bleeding', 'abdominal pain', 'bloating', 'fatigue', 'unexplained weight loss']",Malignant neoplasm of rectosigmoid junction,C19
Developed nations,"['diet', 'obesity', 'IBD']",Neoplastic,"['rectal bleeding', 'change in bowel habits', 'tenesmus', 'abdominal pain', 'anemia', 'unexplained weight loss']",Malignant neoplasm of rectum,C20
Worldwide,"['HPV infection', 'smoking', 'immunosuppression']",Neoplastic,"['anal bleeding', 'anal pain', 'anal lump', 'anal itching', 'change in bowel habits', 'fecal incontinence']",Malignant neoplasm of anus and anal canal,C21
East Asia,"['Hepatitis B', 'Hepatitis C', 'alcohol']",Neoplastic,"['jaundice', 'abdominal pain', 'ascites', 'unexplained weight loss', 'loss of appetite', 'fatigue']",Malignant neoplasm of liver,C22
Worldwide,"['gallstones', 'obesity', 'genetics']",Neoplastic,"['jaundice', 'abdominal pain', 'nausea', 'vomiting', 'bloating', 'unexplained weight loss']",Malignant neoplasm of gallbladder,C23
Worldwide,"['PSC', 'liver flukes', 'choledochal cysts']",Neoplastic,"['jaundice', 'abdominal pain', 'itching', 'clay-colored stools', 'dark urine', 'unexplained weight loss']",Malignant neoplasm of other biliary tract,C24
Worldwide,"['smoking', 'genetics', 'chronic pancreatitis']",Neoplastic,"['jaundice', 'abdominal pain', 'back pain', 'unexplained weight loss', 'loss of appetite', 'new-onset diabetes']",Malignant neoplasm of pancreas,C25
Worldwide,"['genetics', 'IBD', 'obesity']",Neoplastic,"['abdominal pain', 'weight loss', 'nausea', 'vomiting', 'fatigue', 'change in bowel habits']",Malignant neoplasm of other digestive organs,C26
Worldwide,"['wood dust', 'smoking', 'industrial chemicals']",Neoplastic,"['nasal congestion', 'nosebleeds', 'facial pain', 'headache', 'hearing loss', 'vision problems']",Malignant neoplasm of nasal cavity and middle ear,C30
Worldwide,"['smoking', 'wood dust', 'nickel exposure']",Neoplastic,"['chronic sinusitis', 'nasal obstruction', 'facial swelling', 'headache', 'vision changes', 'nosebleeds']",Malignant neoplasm of accessory sinuses,C31
Worldwide,"['smoking', 'alcohol', 'genetics']",Neoplastic,"['hoarseness', 'persistent cough', 'sore throat', 'difficulty swallowing', 'ear pain', 'neck lump']",Malignant neoplasm of larynx,C32
Worldwide,"['smoking', 'radon', 'genetics']",Neoplastic,"['persistent cough', 'shortness of breath', 'hoarseness', 'wheezing', 'chest pain', 'coughing up blood']",Malignant neoplasm of trachea,C33
Worldwide,"['smoking', 'radon', 'asbestos']",Neoplastic,"['persistent cough', 'chest pain', 'shortness of breath', 'coughing up blood', 'unexplained weight loss', 'fatigue']",Malignant neoplasm of bronchus and lung,C34
Worldwide,"['genetics', 'radiation', 'autoimmune disorders']",Neoplastic,"['cough', 'chest pain', 'shortness of breath', 'Myasthenia Gravis', 'facial swelling', 'hoarseness']",Malignant neoplasm of thymus,C37
Worldwide,"['asbestos', 'radiation', 'genetics']",Neoplastic,"['chest pain', 'shortness of breath', 'persistent cough', 'fatigue', 'unexplained weight loss', 'pleural effusion']","Malignant neoplasm of heart, mediastinum, and pleura",C38
Worldwide,"['smoking', 'asbestos', 'genetics']",Neoplastic,"['cough', 'chest pain', 'shortness of breath', 'fatigue', 'weight loss', 'hoarseness']",Malignant neoplasm of other respiratory organs,C39
Worldwide,"['genetics', 'radiation', ""Paget's disease""]",Neoplastic,"['bone pain', 'swelling near bone', 'pathologic fracture', 'fatigue', 'unexplained weight loss', 'limited range of motion']",Malignant neoplasm of bone and articular cartilage of limbs,C40
Worldwide,"['genetics', 'radiation', ""Paget's disease""]",Neoplastic,"['jaw pain', 'pelvic pain', 'back pain', 'swelling', 'pathologic fracture', 'fatigue']",Malignant neoplasm of bone and articular cartilage of other sites,C41
Australasia,"['UV radiation', 'genetics', 'many moles']",Neoplastic,"['new mole', 'changing mole', 'irregular border', 'asymmetric shape', 'multiple colors', 'diameter >6mm']",Malignant melanoma of skin,C43
Australasia,"['UV radiation', 'fair skin', 'immunosuppression']",Neoplastic,"['pearly/waxy bump', 'flat, flesh-colored lesion', 'firm, red nodule', 'crusting/bleeding sore', 'scaly patch', 'non-healing sore']",Other malignant neoplasms of skin,C44
Worldwide,"['asbestos', 'radiation', 'genetics']",Neoplastic,"['shortness of breath', 'chest pain', 'dry cough', 'unexplained weight loss', 'abdominal swelling', 'abdominal pain']",Mesothelioma,C45
Sub-Saharan Africa,"['HHV-8 infection', 'HIV/AIDS', 'immunosuppression']",Neoplastic,"['purple/red skin lesions', 'leg swelling', 'internal lesions', 'cough', 'abdominal pain', 'bleeding']",Kaposi sarcoma,C46
Worldwide,"['genetics', 'radiation', 'neurofibromatosis']",Neoplastic,"['persistent pain', 'lump under skin', 'numbness', 'tingling', 'weakness in limb', 'dizziness']",Malignant neoplasm of peripheral nerves,C47
Worldwide,"['genetics', 'radiation', 'chemical exposure']",Neoplastic,"['abdominal pain', 'abdominal mass', 'feeling of fullness', 'back pain', 'unexplained weight loss', 'bowel obstruction']",Malignant neoplasm of retroperitoneum and peritoneum,C48
Worldwide,"['genetics', 'radiation', 'chemical exposure']",Neoplastic,"['painless lump', 'swelling in limb', 'pain if nerve compressed', 'limited mobility', 'fatigue', 'unexplained weight loss']",Malignant neoplasm of other connective and soft tissue,C49
Developed nations,"['genetics', 'female gender', 'age']",Neoplastic,"['breast lump', 'nipple discharge', 'skin dimpling', 'nipple retraction', 'breast pain', 'skin redness/thickening']",Malignant neoplasm of breast,C50
Worldwide,"['HPV infection', 'smoking', 'immunosuppression']",Neoplastic,"['vulvar itching', 'vulvar pain', 'skin changes', 'lump or sore', 'bleeding', 'abnormal discharge']",Malignant neoplasm of vulva,C51
Worldwide,"['age', 'DES exposure', 'HPV infection']",Neoplastic,"['abnormal vaginal bleeding', 'pain during intercourse', 'vaginal lump', 'watery discharge', 'pelvic pain', 'painful urination']",Malignant neoplasm of vagina,C52
Developing nations,"['HPV infection', 'smoking', 'immunosuppression']",Neoplastic,"['abnormal vaginal bleeding', 'bleeding after intercourse', 'pelvic pain', 'pain during intercourse', 'watery/bloody discharge', 'leg swelling']",Malignant neoplasm of cervix uteri,C53
